WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Kalmunai,LK,7.4167,81.8167,78.71,87,80,4.18,broken clouds
80,Port Elizabeth,ZA,-33.918,25.5701,59.29,97,100,14.97,heavy intensity rain
81,Meulaboh,ID,4.1363,96.1285,75.94,85,95,3.42,overcast clouds
82,Chunoyar,RU,57.4467,97.3217,53.92,95,99,4.29,overcast clouds
83,Pangody,RU,65.85,74.4859,61.75,57,100,10.29,overcast clouds
84,Lompoc,US,34.6391,-120.4579,96.01,56,0,9.22,clear sky
85,Milos,GR,36.75,24.4333,74.48,65,0,24.83,clear sky
86,Aguimes,ES,27.9054,-15.4461,74.03,65,20,32.21,few clouds
87,Goderich,CA,43.7501,-81.7165,79.12,65,87,5.75,overcast clouds
88,Carutapera,BR,-1.195,-46.02,81.9,76,74,7.43,broken clouds
89,Kodiak,US,57.79,-152.4072,52.86,87,50,4.43,scattered clouds
90,Barrow,US,71.2906,-156.7887,44.62,70,0,5.75,clear sky
91,Nelson Bay,AU,-32.7167,152.15,59.0,79,100,8.99,overcast clouds
92,Abu Kamal,SY,34.4506,40.9171,98.73,12,0,9.44,clear sky
93,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,light rain
94,Dikson,RU,73.5069,80.5464,45.12,82,100,13.22,overcast clouds
95,Makakilo City,US,21.3469,-158.0858,80.01,64,0,9.22,clear sky
96,Leningradskiy,RU,69.3833,178.4167,34.54,95,100,13.47,overcast clouds
97,Petukhovo,RU,55.0692,67.9019,66.38,70,100,7.7,overcast clouds
98,Luderitz,NA,-26.6481,15.1594,59.05,69,0,19.33,clear sky
99,Hilo,US,19.7297,-155.09,81.28,81,75,1.99,broken clouds
100,Lagoa,PT,39.05,-27.9833,70.3,93,2,13.51,clear sky
101,Amazar,RU,53.858,120.875,64.76,74,100,2.3,overcast clouds
102,Sorland,NO,67.667,12.6934,55.26,83,58,5.06,broken clouds
103,Dalvik,IS,65.9702,-18.5286,57.13,82,100,3.09,overcast clouds
104,San Jose,US,37.3394,-121.895,88.9,60,20,4.61,few clouds
105,Kaitangata,NZ,-46.2817,169.8464,43.88,78,95,6.85,overcast clouds
106,Gornopravdinsk,RU,60.05,69.9,59.86,76,7,4.85,clear sky
107,Vysokogornyy,RU,50.1167,139.15,55.69,99,100,2.57,overcast clouds
108,Busselton,AU,-33.65,115.3333,57.63,78,100,9.69,overcast clouds
109,Pochutla,MX,15.7432,-96.4661,92.82,53,79,7.14,broken clouds
110,Maloy,NO,61.9353,5.1136,65.93,78,100,13.35,light rain
111,Nogliki,RU,51.8333,143.1667,51.37,98,100,8.25,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,42.69,89,100,3.38,overcast clouds
113,Le Mars,US,42.7942,-96.1656,85.84,39,0,19.57,clear sky
114,Sosnovo,RU,60.5514,30.2144,55.67,91,42,4.76,scattered clouds
115,Pangoa,PE,-12.1167,-73.0,85.55,48,13,4.41,few clouds
116,Kedrovyy,RU,56.1667,91.8167,55.87,99,92,8.37,overcast clouds
117,Hamilton,US,39.1834,-84.5333,90.73,60,20,9.22,few clouds
118,Voyvozh,RU,62.892,54.9635,64.47,77,100,10.09,light rain
119,Caravelas,BR,-17.7125,-39.2481,75.67,65,5,7.56,clear sky
120,Willowmore,ZA,-33.2926,23.4895,51.62,81,100,7.61,overcast clouds
121,Khatanga,RU,71.9667,102.5,43.95,56,100,16.89,overcast clouds
122,Saint Anthony,US,45.0205,-93.218,91.92,50,4,16.51,clear sky
123,Palm Beach,US,26.6503,-80.4498,93.06,75,3,2.21,clear sky
124,Ballina,AU,-28.8667,153.5667,53.02,99,72,11.81,broken clouds
125,Bethel,US,41.3712,-73.414,91.18,55,20,6.91,few clouds
126,Awjilah,LY,29.1081,21.2869,86.63,23,0,16.24,clear sky
127,Thompson,CA,55.7435,-97.8558,80.76,44,0,11.5,smoke
128,Ketchikan,US,55.3422,-131.6461,59.47,72,75,4.61,broken clouds
129,Camara De Lobos,PT,32.6333,-16.9667,74.71,79,20,24.16,few clouds
130,Huilong,CN,31.8111,121.655,79.93,91,100,6.33,overcast clouds
